arrival_date,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,is_canceled,total_bookings
2015-07-01,186.74590163934425,0.36885245901639346,2.7459016393442623,1.8278688524590163,0.01639344262295082,0.0,0.00819672131147541,0.09016393442622951,0.07377049180327869,0.27049180327868855,0.0,92.8289344262295,0.03278688524590164,0.319672131147541,19,122
2015-07-02,153.1290322580645,0.8064516129032258,3.129032258064516,2.0,0.043010752688172046,0.0,0.23655913978494625,0.5053763440860215,0.03225806451612903,0.043010752688172046,0.0,82.20548387096774,0.053763440860215055,0.40860215053763443,57,93
2015-07-03,72.85714285714286,0.9464285714285714,3.3392857142857144,2.0,0.07142857142857142,0.0,0.0,0.017857142857142856,0.0,0.10714285714285714,0.0,97.18303571428571,0.125,0.48214285714285715,19,56
2015-07-04,154.9659090909091,1.8636363636363635,3.125,1.9431818181818181,0.09090909090909091,0.022727272727272728,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0,85.58227272727272,0.07954545454545454,0.5113636363636364,43,88
2015-07-05,83.64150943396227,2.2830188679245285,3.6792452830188678,1.9433962264150944,0.18867924528301888,0.0,0.018867924528301886,0.1509433962264151,0.0,0.20754716981132076,0.0,100.00264150943397,0.24528301886792453,0.4528301886792453,16,53
2015-07-06,144.18666666666667,1.4533333333333334,3.3066666666666666,1.9333333333333333,0.09333333333333334,0.02666666666666667,0.0,0.29333333333333333,0.0,0.14666666666666667,0.0,90.45906666666667,0.06666666666666667,0.56,34,75
2015-07-07,99.87037037037037,1.0,4.851851851851852,1.9444444444444444,0.16666666666666666,0.0,0.0,0.12962962962962962,0.018518518518518517,0.2222222222222222,0.0,92.57944444444445,0.07407407407407407,1.0,25,54
2015-07-08,171.02898550724638,0.5797101449275363,3.3333333333333335,1.9855072463768115,0.028985507246376812,0.0,0.0,0.18840579710144928,0.0,0.14492753623188406,0.0,79.99159420289855,0.10144927536231885,0.42028985507246375,24,69
2015-07-09,180.55,0.45,2.575,2.0,0.1,0.0125,0.25,0.775,0.0,0.075,0.0,80.648,0.075,0.4375,51,80
2015-07-10,73.33333333333333,1.5686274509803921,3.7254901960784315,2.019607843137255,0.2549019607843137,0.0784313725490196,0.0,0.0392156862745098,0.0,0.29411764705882354,0.0,111.99745098039216,0.1568627450980392,0.9411764705882353,9,51
2015-07-11,111.19417475728156,1.8640776699029127,2.0194174757281553,1.970873786407767,0.04854368932038835,0.009708737864077669,0.0,0.24271844660194175,0.0,0.0970873786407767,0.0,98.87495145631068,0.05825242718446602,0.2621359223300971,42,103
2015-07-12,110.36507936507937,2.0952380952380953,2.7142857142857144,2.015873015873016,0.31746031746031744,0.047619047619047616,0.0,0.2698412698412698,0.0,0.1111111111111111,0.0,110.41984126984127,0.15873015873015872,0.5714285714285714,26,63
